Date,SleepData
2026-03-23,"睡眠時間: 7時間24分
覚醒: 13分
レム: 1時間12分
コア: 5時間2分
深い: 57分"
2026-03-24,"睡眠時間: 7時間15分
覚醒: 27分
レム: 1時間16分
コア: 4時間36分
深い: 56分"
2026-03-25,"睡眠時間: 7時間8分
覚醒: 33分
レム: 1時間2分
コア: 4時間52分
深い: 41分"
2026-03-26,"睡眠時間: 7時間23分
覚醒: 22分
レム: 1時間14分
コア: 4時間49分
深い: 58分"
2026-03-27,"睡眠時間: 7時間36分
覚醒: 35分
レム: 2時間3分
コア: 4時間18分
深い: 40分"
2026-03-28,"睡眠時間: 6時間53分
覚醒: 37分
レム: 1時間14分
コア: 4時間30分
深い: 32分"
2026-03-29,"睡眠時間: 8時間45分
覚醒: 27分
レム: 2時間8分
コア: 4時間27分
深い: 1時間43分"
2026-03-30,"睡眠時間: 7時間18分
覚醒: 22分
レム: 1時間35分
コア: 4時間47分
深い: 34分"
2026-03-31,"睡眠時間: 7時間12分
覚醒: 25分
レム: 1時間31分
コア: 4時間26分
深い: 50分"
2026-04-01,"睡眠時間: 6時間34分
覚醒: 19分
レム: 57分
コア: 4時間48分
深い: 30分"
2026-04-02,"睡眠時間: 6時間58分
覚醒: 32分
レム: 1時間9分
コア: 4時間46分
深い: 31分"
2026-04-03,"睡眠時間: 6時間38分
覚醒: 28分
レム: 1時間8分
コア: 4時間50分
深い: 12分"
2026-04-04,"睡眠時間: 6時間35分
覚醒: 18分
レム: 1時間22分
コア: 4時間23分
深い: 32分"
2026-04-05,"睡眠時間: 7時間49分
覚醒: 40分
レム: 1時間31分
コア: 5時間2分
深い: 36分"
2026-04-06,"睡眠時間: 6時間45分
覚醒: 37分
レム: 1時間17分
コア: 4時間40分
深い: 11分"
2026-04-07,"睡眠時間: 8時間51分
覚醒: 30分
レム: 2時間15分
コア: 5時間7分
深い: 1時間29分"
2026-04-08,"睡眠時間: 8時間32分
覚醒: 16分
レム: 1時間53分
コア: 5時間6分
深い: 1時間33分"
2026-04-09,"睡眠時間: 7時間11分
覚醒: 26分
レム: 1時間36分
コア: 4時間4分
深い: 1時間31分"
2026-04-10,"睡眠時間: 7時間39分
覚醒: 38分
レム: 1時間27分
コア: 2時間56分
深い: 45分"
2026-04-11,"睡眠時間: 8時間30分
覚醒: 2時間41分
レム: 1時間6分
コア: 1時間57分
深い: 57分"
2026-04-12,"睡眠時間: 7時間41分
覚醒: 43分
レム: 1時間17分
コア: 3時間38分
深い: 48分"
2026-04-13,"睡眠時間: 6時間24分
覚醒: --分
レム: --分
コア: --分
深い: --分"
2026-04-14,"睡眠時間: 6時間27分
覚醒: 18分
レム: 58分
コア: 1時間54分
深い: 36分"
2026-04-15,"睡眠時間: 8時間5分
覚醒: 18分
レム: 1時間14分
コア: 2時間58分
深い: 1時間5分"
2026-04-16,"睡眠時間: 8時間16分
覚醒: 30分
レム: 2時間
コア: 5時間40分
深い: 36分"
2026-04-17,"睡眠時間: 6時間54分
覚醒: 18分
レム: 1時間35分
コア: 3時間10分
深い: 56分"
2026-04-18,"睡眠時間: 8時間40分
覚醒: 21分
レム: 1時間7分
コア: 4時間5分
深い: 33分"
2026-04-19,"睡眠時間: 8時間52分
覚醒: 11分
レム: 2時間37分
コア: 5時間6分
深い: 1時間9分"
2026-04-20,"睡眠時間: 6時間29分
覚醒: 22分
レム: 48分
コア: 2時間30分
深い: 40分"
2026-04-21,"睡眠時間: 8時間5分
覚醒: 24分
レム: 1時間23分
コア: 3時間
深い: 57分"
2026-04-22,"睡眠時間: 8時間
覚醒: 37分
レム: 1時間43分
コア: 5時間34分
深い: 43分"
2026-04-23,"睡眠時間: 7時間19分
覚醒: 1時間17分
レム: 1時間34分
コア: 4時間31分
深い: 1時間14分"
2026-04-24,"睡眠時間: 6時間26分
覚醒: 55分
レム: 54分
コア: 2時間1分
深い: 35分"
2026-04-25,"睡眠時間: 7時間12分
覚醒: 37分
レム: 1時間53分
コア: 3時間56分
深い: 1時間23分"
2026-04-26,"睡眠時間: 9時間51分
覚醒: 15分
レム: 2時間15分
コア: 6時間22分
深い: 1時間14分"
